BLOCK,FLOOR,FLAT,PRICE,SFA
9,16,H,8.16,561
10,4,D,8.16,587
10,27,E,8.16,561
8,10,A,8.16,587
9,28,E,8.16,561
11,4,D,8.15,587
9,4,D,8.15,587
10,22,A,8.15,587
10,2,D,8.14,587
8,26,H,8.14,561
8,29,H,8.14,561
10,2,D,8.14,587
11,4,D,8.14,587
12,2,A,8.13,587
8,5,D,8.13,587
10,5,D,8.13,587
8,20,H,8.12,561
11,11,D,8.11,587
8,18,H,8.11,561
10,23,E,8.11,561
10,21,E,8.11,561
9,26,E,8.11,561
12,3,A,8.11,587
11,8,A,8.10,587
9,34,H,8.10,561
8,5,A,8.10,587
11,28,H,8.10,561
9,26,H,8.09,561
11,4,A,8.09,587
8,15,H,8.09,561
8,23,E,8.09,561
9,2,A,8.09,587
9,25,E,8.09,561
8,3,A,8.08,587
9,31,H,8.08,561
9,13,H,8.08,561
8,15,H,8.08,561
12,29,H,8.08,561
9,28,E,8.08,561
11,27,H,8.07,561
10,2,A,8.07,587
8,4,D,8.07,587
8,28,E,8.07,561
12,27,H,8.07,561
8,21,E,8.07,561
10,12,E,8.07,561
9,23,E,8.06,561
10,12,E,8.06,561
9,15,H,8.06,561
11,13,D,8.06,587
11,25,H,8.06,561
9,23,E,8.06,561
10,2,D,8.06,587
12,26,H,8.06,561
9,16,H,8.06,561
12,31,H,8.05,561
9,11,H,8.05,561
11,2,D,8.05,587
8,12,H,8.05,561
8,4,D,8.05,587
11,33,H,8.05,561
7,31,B,8.05,551
9,11,H,8.05,561
9,30,E,8.05,561
8,20,E,8.05,561
8,30,E,8.04,561
7,22,B,8.04,551
9,6,A,8.04,587
11,26,E,8.04,561
12,4,D,8.04,587
9,11,H,8.04,561
9,23,E,8.04,561
12,29,E,8.04,561
12,4,D,8.04,587
10,22,H,8.04,561
8,20,E,8.03,561
12,22,H,8.03,561
7,28,B,8.03,551
12,22,H,8.03,561
11,30,H,8.03,561
8,3,A,8.03,587
7,32,B,8.03,551
12,8,D,8.03,587
10,19,E,8.03,561
9,21,E,8.02,561
9,26,E,8.02,561
9,31,E,8.02,561
9,20,H,8.02,561
12,33,E,8.02,561
7,25,B,8.02,551
11,2,D,8.02,587
10,15,E,8.02,561
10,6,D,8.02,587
11,26,H,8.02,561
12,29,E,8.02,561
8,23,E,8.02,561
9,30,H,8.01,561
11,32,E,8.01,561
12,31,E,8.01,561
9,23,E,8.01,561
7,32,B,8.01,551
11,3,A,8.01,587
8,5,A,8.01,587
11,29,E,8.01,561
11,16,A,8.00,587
11,30,E,8.00,561
9,2,A,8.00,587
7,21,B,8.00,551
12,28,E,8.00,561
11,22,E,8.00,561
8,19,E,8.00,561
9,23,E,8.00,561
9,4,A,8.00,587
7,30,B,8.00,551
8,13,H,8.00,561
11,33,E,8.00,561
8,5,A,7.99,587
11,22,E,7.99,561
10,11,E,7.99,561
10,2,D,7.99,587
7,32,B,7.99,551
10,24,E,7.99,561
10,26,H,7.99,561
8,26,E,7.98,561
7,31,B,7.98,551
11,21,E,7.98,561
8,34,H,7.98,561
11,21,H,7.98,561
12,22,E,7.98,561
5,28,B,7.98,539
10,18,H,7.98,561
7,23,B,7.98,551
8,31,E,7.98,561
12,28,E,7.98,561
12,18,H,7.98,561
8,2,D,7.98,587
12,30,E,7.98,561
8,25,E,7.98,561
8,34,E,7.97,561
10,21,H,7.97,561
8,17,E,7.97,561
9,34,E,7.97,561
10,34,E,7.97,561
8,9,H,7.97,561
11,33,H,7.96,561
8,28,E,7.96,561
11,6,D,7.96,587
12,20,E,7.96,561
12,19,E,7.96,561
9,20,E,7.96,561
10,10,E,7.96,561
11,33,H,7.96,561
7,21,B,7.96,551
7,26,B,7.96,551
9,8,H,7.95,561
11,18,H,7.95,561
11,4,A,7.95,587
12,27,E,7.95,561
10,23,H,7.94,561
11,4,A,7.94,587
9,24,E,7.94,561
10,24,H,7.94,561
12,26,H,7.94,561
12,26,H,7.94,561
5,27,B,7.94,539
12,2,A,7.94,587
10,20,E,7.94,561
11,26,H,7.94,561
12,4,A,7.94,587
9,23,E,7.94,561
4,28,B,7.93,539
11,22,H,7.93,561
9,21,E,7.93,561
11,31,E,7.93,561
8,2,D,7.93,587
11,13,A,7.93,587
5,32,B,7.92,539
12,22,E,7.92,561
5,28,B,7.92,539
9,11,H,7.92,561
11,22,E,7.92,561
4,29,B,7.92,539
8,24,E,7.92,561
12,22,E,7.92,561
11,23,H,7.92,561
12,27,E,7.92,561
5,31,B,7.91,539
12,25,H,7.91,561
8,34,E,7.91,561
5,22,B,7.91,539
7,26,B,7.91,551
11,10,A,7.91,587
12,23,H,7.91,561
11,21,E,7.91,561
4,31,G,7.91,539
