BLOCK,FLOOR,FLAT,PRICE,SFA
11,23,H,7.917270237,561
12,27,E,7.916163237,561
5,31,B,7.914037071,539
12,25,H,7.910820657,561
8,34,E,7.90979212,561
5,22,B,7.907895545,539
7,26,B,7.907505894,551
11,10,A,7.907376974,587
12,23,H,7.906941364,561
11,21,E,7.906558376,561
4,31,G,7.906335187,539
12,23,E,7.906003256,561
12,24,E,7.905825288,561
9,31,E,7.904398021,561
12,32,H,7.901340305,561
11,34,E,7.90092288,561
8,17,A,7.899887215,587
4,31,B,7.899191428,539
10,10,E,7.898275356,561
11,34,E,7.898223029,561
4,32,G,7.897734184,539
12,20,H,7.897622812,561
7,30,B,7.897610016,551
7,24,B,7.894644858,551
9,10,H,7.894335336,561
12,22,H,7.893195076,561
7,17,B,7.892651845,551
11,21,E,7.890734285,561
12,23,E,7.888815741,561
12,34,E,7.887364258,561
11,20,H,7.88696058,561
12,21,H,7.885319357,561
11,23,H,7.884190246,561
9,34,E,7.883948539,561
11,34,H,7.883159582,561
12,25,E,7.881443499,561
12,18,H,7.881154953,561
4,27,B,7.880908396,539
4,31,B,7.879815752,539
12,18,H,7.87764741,561
12,16,E,7.877643121,561
11,19,H,7.875349791,561
9,9,H,7.875214395,561
10,21,H,7.872593911,561
7,21,B,7.87233706,551
5,29,B,7.871337072,539
7,32,B,7.870433386,551
12,24,H,7.869561602,561
11,15,H,7.868252195,561
5,33,B,7.86824109,539
12,21,E,7.867049249,561
12,18,H,7.866946637,561
11,33,H,7.866228141,561
8,17,A,7.866115065,587
9,20,E,7.865254444,561
7,24,B,7.865014963,551
9,15,E,7.8649882,561
12,18,H,7.864803517,561
8,28,E,7.863957677,561
9,26,E,7.863376521,561
5,33,B,7.858845347,539
4,25,B,7.857262502,539
5,18,B,7.857052242,539
12,17,E,7.85502363,561
9,23,E,7.852704518,561
8,34,E,7.852300727,561
11,15,H,7.851665081,561
12,34,E,7.850021976,561
5,26,B,7.848060293,539
9,9,H,7.846844523,561
11,32,E,7.84491511,561
12,26,H,7.844593973,561
12,34,E,7.841907366,561
8,15,E,7.841457089,561
10,21,H,7.83914499,561
10,23,H,7.839108465,561
4,20,G,7.837760482,539
9,4,A,7.83738121,587
7,23,B,7.836667922,551
11,15,E,7.835541709,561
8,25,E,7.835049017,561
4,26,B,7.83421451,539
12,20,H,7.833044181,561
7,24,B,7.832007717,551
7,19,B,7.831960987,551
4,25,B,7.83100859,539
9,6,H,7.830523481,561
12,33,H,7.830355785,561
11,21,H,7.828157394,561
10,12,E,7.827997387,561
6,20,G,7.827454711,551
10,7,E,7.825154551,561
11,16,H,7.82373074,561
12,17,H,7.820604823,561
6,30,G,7.818699528,551
12,28,H,7.818541633,561
11,17,H,7.817571985,561
4,31,G,7.813391653,539
8,26,E,7.812054117,561
5,31,B,7.810431823,539
9,26,E,7.81010924,561
12,33,H,7.808896641,561
4,19,G,7.806824936,539
7,17,B,7.806007035,551
11,34,E,7.803865062,561
11,22,E,7.802796419,561
11,27,H,7.801773641,561
10,17,H,7.798535722,561
9,9,H,7.798514928,561
4,27,G,7.798075928,539
5,24,B,7.796116788,539
10,34,H,7.795470741,561
7,17,B,7.794805997,551
12,20,E,7.794766325,561
12,24,H,7.79405909,561
11,13,H,7.793428481,561
9,12,E,7.787370937,561
12,34,H,7.785822851,561
4,19,G,7.785537264,539
4,22,B,7.784348755,539
12,28,H,7.783187443,561
9,12,E,7.780808193,561
10,6,E,7.779969373,561
4,28,G,7.778480208,539
12,34,H,7.777786886,561
12,18,E,7.77681088,561
12,18,E,7.77681088,561
6,32,G,7.776169515,551
12,15,E,7.774573939,561
12,12,H,7.771256225,561
11,18,H,7.769541714,561
10,13,H,7.769395092,561
12,34,E,7.767139448,561
5,34,B,7.764160345,539
4,34,B,7.76326415,539
12,13,E,7.761496355,561
4,20,B,7.755313413,539
4,24,G,7.754377514,539
12,15,E,7.754066841,561
11,18,E,7.753559809,561
10,7,E,7.753398271,561
12,12,E,7.749771914,561
4,23,B,7.748583383,539
4,27,B,7.744085627,539
10,12,H,7.741237608,561
5,24,B,7.740570519,539
10,11,H,7.739731563,561
8,14,E,7.739590936,561
4,29,B,7.735349078,539
8,14,E,7.734171209,561
4,26,G,7.733128831,539
9,16,E,7.732613307,561
5,30,B,7.732258626,539
12,9,A,7.732130475,587
10,11,E,7.728587217,561
8,34,E,7.722867976,561
11,14,H,7.720136787,561
11,13,E,7.718954566,561
9,15,H,7.717979826,561
6,23,G,7.713873815,551
8,8,H,7.713233696,561
8,19,E,7.712339914,561
4,34,G,7.712177509,539
8,5,A,7.712004846,587
9,6,H,7.705136614,561
9,9,E,7.704243594,561
9,7,H,7.702077746,561
10,11,H,7.699047549,561
4,34,G,7.696040157,539
7,12,B,7.695248846,551
4,23,G,7.695056345,539
11,10,H,7.69379829,561
5,27,B,7.691901562,539
10,14,H,7.69158863,561
12,34,E,7.690725418,561
7,28,G,7.690556628,542
11,13,H,7.688289381,561
11,11,E,7.686834853,561
12,34,E,7.686129488,561
5,27,B,7.684451139,539
5,22,B,7.684237441,539
10,9,E,7.681327744,561
7,15,B,7.678997364,551
12,20,E,7.67722023,561
12,15,E,7.676796363,561
5,32,B,7.676365578,539
12,17,H,7.67419448,561
12,10,H,7.673964661,561
9,34,E,7.67254404,561
4,24,G,7.672386576,539
11,15,E,7.671145875,561
4,24,B,7.668901525,539
7,14,B,7.667006962,551
4,13,G,7.663506163,539
12,13,E,7.663091153,561
11,10,E,7.662161883,561
9,30,H,7.661737062,561
11,34,E,7.660012744,561
11,10,H,7.657598824,561
8,6,H,7.657597369,561
9,8,H,7.657006815,561
12,13,E,7.65386649,561
7,15,B,7.653047045,551
9,23,E,7.652933432,561
8,8,H,7.651223226,561
11,13,E,7.649966333,561
10,5,E,7.648711307,561
6,19,G,7.648446705,551
6,15,G,7.646690406,551
11,12,E,7.646120989,561
4,23,B,7.643537081,539
12,14,H,7.640196233,561
6,17,G,7.636433364,551
10,11,H,7.635838857,561
8,8,E,7.635673574,561
4,18,G,7.634934816,539
10,9,H,7.634558158,561
10,24,H,7.633475668,561
4,20,G,7.631199418,539
8,3,H,7.629424603,561
8,3,H,7.626912356,561
12,19,H,7.62458743,561
7,32,G,7.622373589,542
11,17,H,7.620519585,561
10,26,E,7.619131741,561
12,34,E,7.615880737,561
7,32,G,7.613370676,542
11,24,H,7.61305403,561
12,33,H,7.611089165,561
11,34,H,7.60862961,561
7,27,G,7.608056642,542
8,2,H,7.60601003,561
8,13,E,7.605219335,561
12,9,E,7.603923478,561
9,2,H,7.60284626,561
8,4,H,7.601259366,561
4,12,B,7.599850142,539
11,28,E,7.596097774,561
11,11,E,7.593112661,561
2,28,H,7.592363551,531
4,13,B,7.591685114,539
12,20,H,7.590317164,561
6,12,G,7.588186664,551
8,7,H,7.586410448,561
5,14,B,7.585578391,539
4,21,B,7.585561603,539
12,25,E,7.585119615,561
4,34,B,7.585080531,539
12,14,E,7.583418146,561
8,4,H,7.582761435,561
10,9,H,7.582757042,561
4,20,B,7.580956125,539
4,32,B,7.576601279,539
11,10,E,7.576570354,561
7,11,B,7.575625092,551
4,34,G,7.569030713,539
7,23,G,7.568926827,542
2,27,H,7.565935078,531
9,2,H,7.565783861,561
7,29,G,7.562872379,542
6,24,G,7.559328922,551
12,9,E,7.557783345,561
11,12,E,7.557111176,561
8,11,E,7.556736446,561
12,15,E,7.556699278,561
11,14,H,7.555924592,561
10,7,H,7.554957434,561
6,21,G,7.554758054,551
3,29,G,7.554698897,515
12,13,E,7.55390236,561
11,8,E,7.552581204,561
12,9,H,7.549554415,561
9,6,H,7.546033634,561
12,21,E,7.545568912,561
11,10,H,7.545563234,561
12,17,H,7.542042259,561
8,6,E,7.540858989,561
11,10,E,7.540158826,561
11,11,E,7.539345065,561
11,32,E,7.537682192,561
3,29,G,7.537584691,515
12,8,H,7.536731098,561
3,32,G,7.534648809,515
6,13,G,7.534396643,551
7,17,G,7.533553379,542
6,15,G,7.532378271,551
12,9,H,7.53020843,561
4,14,G,7.527064757,539
12,14,E,7.526865179,561
8,7,E,7.525553227,561
3,30,G,7.52501697,515
12,14,H,7.524733794,561
4,17,G,7.524266099,539
10,6,H,7.523978577,561
6,10,G,7.5238986,551
10,14,H,7.5214477,561
6,10,G,7.517778266,551
8,7,E,7.515644719,561
7,16,G,7.515248922,542
3,23,G,7.515076783,515
9,5,E,7.512902923,561
9,9,H,7.512161598,561
3,29,G,7.512014593,515
12,7,H,7.509054371,561
7,16,G,7.507804854,542
10,8,H,7.507604585,561
10,32,E,7.505053138,561
9,16,E,7.502096104,561
11,7,E,7.498007893,561
3,32,G,7.497873262,515
9,7,E,7.497042986,561
8,7,E,7.496861829,561
8,22,H,7.495361558,561
8,14,E,7.495132169,561
3,21,G,7.492675131,515
8,7,E,7.492238384,561
7,15,G,7.489653808,542
2,26,H,7.488316243,531
10,31,H,7.485962256,561
12,7,H,7.483465853,561
2,20,H,7.482904034,531
12,6,E,7.482036741,561
9,6,E,7.482012696,561
2,20,H,7.480773108,531
3,20,G,7.480710208,515
11,6,E,7.479438705,561
2,32,H,7.478653502,531
12,12,H,7.47745947,561
3,23,G,7.476241333,515
11,5,H,7.46809825,561
3,18,G,7.466995782,515
3,18,G,7.466437386,515
